i,lambda0,lambda1,mu0,mu1,q01,q10,p
68,68,0.221003440288569,0.835275105450088,0.0137009641933612,0.205251131827387,0.0198764181008067,0.30986322316596,-169.557955587853
69,69,0.268832893433512,0.827981055819017,0.101153331956967,0.278999487554206,0.0137130554830889,0.19625721641743,-169.303544319456
70,70,0.264188326604235,0.599190539731634,0.0757695864897271,0.194857903986096,0.000747379873324817,0.232270324979783,-166.896826465912
71,71,0.34773755127346,0.637002484827483,0.126539863280854,0.131881843493519,0.0193256698413195,0.323783236002014,-168.78958369882
72,72,0.259077914951146,0.572961647777964,0.107710921737764,0.11543849198709,0.00650515490746637,0.223516869206317,-167.200743035572
73,73,0.29205253589601,0.434499706430782,0.119312026004767,0.124080997030009,0.00219651629174293,0.2648428376619,-169.517782643412
74,74,0.282395440914134,0.589462596333286,0.049709906955978,0.0842431486466687,0.0461584010817852,0.263347047630356,-167.889067277515
75,75,0.2992606161925,0.505501656282904,0.0475080672464374,0.0642192634048228,0.0306607598956694,0.302518950707248,-167.806698219967
76,76,0.182057593354111,0.629231503971017,0.0627370302619061,0.00842502450922739,0.0347634491023717,0.238548703095498,-169.413967611616
77,77,0.221452936023111,0.472006938483984,0.0291093284195036,0.00145113947172966,0.00905944807433738,0.294512328646318,-166.026131045042
78,78,0.30493229033022,0.66413595991031,0.193876104260993,0.065951659640406,0.0290335745533294,0.301456889195334,-169.184406235981
79,79,0.339735534809833,0.560566434292299,0.0454199017692662,0.0766443774451407,0.0453918697432518,0.144450112733136,-169.372080081979
80,80,0.296442651497031,0.642515515242129,0.0816729002997696,0.0310721080231133,0.0177219196296352,0.360763068141599,-167.989241421445
81,81,0.265272225499459,0.486151058315583,0.0471529079807085,0.0618124126943752,0.031405164916078,0.338460047784493,-168.152393279041
82,82,0.257371782030686,0.445343461211351,0.0636085143661863,0.0182218972782982,0.0349661075130233,0.310378182291308,-168.039694237811
83,83,0.244578423936054,0.546728639475328,0.0931939454661551,0.0101060963929359,0.00963842110332819,0.212357323152586,-167.099033595275
84,84,0.200764105579725,0.632424645620652,0.0692286799771566,0.0664620035223726,0.00764079880158954,0.41245724370991,-169.005865730071
85,85,0.246125039058218,0.501929023303448,0.0980756936678231,0.0417769438451446,0.0226172405341486,0.154179598184801,-170.378165005043
86,86,0.449786330571326,0.601296551516081,0.12752867676009,0.0519022328231337,0.0319051874543295,0.187224457007878,-171.243699493204
87,87,0.262450855765022,0.526251975934342,0.00317117193969611,0.0127447714990365,0.0321550971769754,0.306792491037874,-166.663253685219
88,88,0.192160675174445,0.542740389482758,0.00337570571772052,0.0495918978298275,0.00812859929188878,0.24114821006973,-165.834092298357
89,89,0.284191383420025,0.456522947794932,0.0234160841499131,0.0232496999122324,0.00495800712404049,0.244373754460323,-166.253571094059
90,90,0.331711665919687,0.433512536375188,0.0139870395053827,0.0052195469571114,4.40426838679171e-06,0.231312473640204,-167.174591580374
91,91,0.314836557056991,0.437988456606824,0.0114287317338843,0.0194911736572867,0.019315623595862,0.270827484660508,-167.735058523343
