species,barcode,collector_number,plant_height_m,leaf_length_cm,leaf_width_cm,leaf_sla,inflorescence_length_cm,inflorescence_width_cm,fruit_weight_mg,fruit_height_mm,fruit_length_mm,fruit_width_mm,seed_number,seed_weight_mg,seed_height_mm,seed_length_mm,seed_width_mm
cubatanensis,flor0029280,Santos_94,4,5.8,1.5,10.7,4.4,2.3,26.0,3.8,4.02,4.33,5,5.20,2.84,1.45,1.93
cubatanensis,flor0015813,Falkenberg_3436,2,5.8,1.6,9.0,2.9,2.3,17.0,3.6,3.3,4.39,3,5.67,2.66,1.88,2.46
cubatanensis,flor0029346,Santos_77,2,6.0,2.0,11.3,na,na,14.0,3.7,3.9,4.08,3,4.67,2.38,1.86,2.04
cyathanthera,ny01462489,Caddah_420,na,1.8,0.3,16.5,3.5,2.0,2.0,1.8,1.48,1.54,3,0.67,1.37,0.64,0.81
cyathanthera,ny00917045,Anderson_35667,0.4,3.5,0.7,10.7,1.5,1.0,3.0,2.1,1.6,2.1,3,1.00,1.77,0.83,1.02
cyathanthera,ny00917044,Irwin_29199,3,3.0,0.4,15.0,2.0,1.0,1.0,1.8,1.52,1.49,1,1.00,1.39,0.73,1.18
dichrophylla,ny1722249,Killeen_4878,15,10.0,4.1,9.3,5.5,2.0,5.0,2.8,2.57,2.76,12,0.42,1.38,0.84,1.11
dichrophylla,ny00987670,Maguire_56013,10,11.5,3.7,10.8,9.0,3.0,13.0,2.7,3.25,3.49,22,0.59,1.32,1.21,1.19
dichrophylla,ny00917057,Ratter_1422,15,15.0,5.2,9.6,12.5,8.5,9.0,2.8,2.36,2.89,25,0.36,1.57,0.83,1.18
dichrophylla,ny02608241,Cardenas_43394,10,10.0,3.1,7.2,7.0,5.0,10.0,3.3,3.05,3.48,8,1.25,1.94,0.91,1.25
dichrophylla,ny03271512,Williams_6472,na,12.5,3.0,6.2,9.0,7.5,6.0,2.7,3.18,3.42,7,0.86,1.42,0.95,0.90
discolor,flor0034143,MelloSilva_831,5,12.3,5.9,15.0,14.4,8.1,21.0,3.3,3.87,3.56,10,2.10,2.03,1.16,1.65
discolor,flor0058308,Mello_121,5,10.6,4.6,22.0,18.9,4.5,22.0,4.4,3.44,3.83,9,2.44,1.65,1.16,1.32
discolor,flor0055851,Silva_7,3.5,19.9,9.9,12.0,14.7,4.9,17.0,3.0,3.29,3.37,11,1.55,1.80,0.92,1.21
dispar,upcb79394,Meirelles_775,3,20.6,11.3,8.4,15.5,5.5,18.0,3.7,4.24,4.13,25,0.72,1.04,0.73,1.03
dispar,upcb58969,Goldenberg_967,12,26.3,12.8,6.4,20.8,14.7,21.0,3.5,4.45,4.41,30,0.70,0.96,1.01,1.04
dispar,upcb42795,Ivanauskas_4211,7,17.5,7.5,7.7,12.1,5.7,15.0,2.3,4.01,4,32,0.47,1.06,1.06,0.86
dispar,ny1722347,McDaniel_26291,12,35.0,14.5,4.9,28.0,34.0,13.0,3.0,3.65,3.48,46,0.28,1.06,0.86,0.78
dispar,ny1722382,Steyermark_122244,5,30.0,11.0,8.0,24.0,10.0,16.0,3.2,3.9,3.94,36,0.44,1.09,0.89,0.71
fallax,flor0033497,Kosmann_flor0033497,2,10.3,5.6,6.0,5.3,4.5,28.0,4.6,3.59,4.55,44,0.64,1.26,0.63,0.96
fallax,ny01796333,Bermudez_17c849,0.5,8.6,4.1,4.9,6.0,4.0,18.0,3.6,4,4.25,47,0.38,1.36,1.16,1.07
fallax,ny00917094,Irwin_11235,1.5,10.2,5.5,3.6,13.5,6.0,36.0,5.0,4.01,4.83,36,1.00,1.37,1.24,1.16
fasciculata,flor0040821,Baumgratz_1114,na,10.4,4.4,11.0,11.5,7.3,7.0,2.5,2.55,2.65,3,2.33,2.05,1.54,1.97
fasciculata,flor0039304,Folchini_449,na,13.9,4.9,7.7,16.5,9.2,9.0,2.9,2.49,2.55,6,1.50,1.64,1.06,1.37
fasciculata,flor0007752,Souza_665,5,15.3,5.2,11.8,13.8,3.8,9.0,3.2,2.87,3.04,12,0.75,1.81,1,1.06
ferruginata,flor0046007,Sampaio_227,1.5,19.0,9.0,4.6,25.0,6.0,11.0,3.7,3.32,3.48,22,0.50,1.12,0.66,0.93
ferruginata,flor0034219,Nunes_21,na,na,na,4.3,na,na,45.0,4.5,5.11,4.95,23,1.96,1.72,0.93,1.24
ferruginata,flor0031172,Vieira_530,3,7.9,3.9,3.6,16.3,2.6,13.0,3.2,3.17,3.53,18,0.72,1.23,0.89,1.14
ferruginata,flor0031157,Walter_2584,na,11.0,5.0,4.7,23.0,4.0,23.0,4.5,3.64,3.83,21,1.10,1.22,1.19,1.03
ferruginata,flor0031065,Cavalcanti_549,2.5,10.5,3.5,3.8,22.0,4.0,28.0,4.0,3.99,4.43,18,1.56,1.45,1.04,1.12
flammea,flor0023353,Souza_1238,3,11.7,5.3,4.1,15.2,12.1,26.0,3.9,4.1,4.55,2,13.00,3.26,2.4,3.40
flammea,flor????,Nunes_6,na,12.7,3.9,5.2,11.8,6.8,46.0,4.6,7.1,9.95,2,23.00,3.85,1.8,3.81
flammea,ny00521338,Harley_22569,3,11.5,3.9,3.8,13.0,4.0,21.0,3.1,3.48,3.67,2,10.50,2.86,1.74,2.61
flammea,ny01145619,Goldenberg_916,8,20.0,6.2,5.1,17.0,12.5,55.0,5.0,4.78,5.7,2,27.50,4.51,2.91,3.61
flammea,ny00916988,Irwin_22458,2,14.5,6.0,2.2,12.5,8.5,24.0,3.9,4,4.29,3,8.00,2.83,1.91,2.63
formosa,furb29876,StivalSantos_1165,10,21.0,13.0,5.3,19.0,16.0,24.0,3.8,3.93,4.77,6,4.00,2.28,1.62,1.19
formosa,flor????,Falkenberg_3944,5,20.0,13.0,5.8,16.0,13.0,24.0,3.2,5.09,4.68,13,1.85,1.73,1.62,1.02
formosa,upcb0016834,Ceccantini_3226,10,16.0,8.0,7.3,21.0,12.0,44.0,4.3,5.02,4.77,9,4.89,2.77,1.73,2.00
formosa,upcb0030618,Voltz_1032,10,13.5,8.4,9.3,16.2,5.4,40.0,4.7,4.74,5.69,9,4.44,2.32,1.69,1.62
heliotropoides,flor0031159,Walter_741,1.5,8.4,8.0,12.5,9.2,7.0,9.0,2.8,3.1,3.16,54,0.17,0.80,0.5,0.58
heliotropoides,upcb0015471,Mota_1068,2.5,9.2,8.5,11.8,8.0,6.8,8.0,2.9,2.74,2.85,43,0.19,0.78,0.51,0.63
heliotropoides,upcb0015500,Roneides_13,0.6,12.0,8.3,22.0,8.3,5.2,6.0,2.9,2.7,2.79,42,0.14,0.69,0.52,0.45
heliotropoides,upcb0015498,Pott_5182,1.3,10.9,7.6,20.0,7.4,4.7,8.0,3.0,2.98,3.17,60,0.13,na,na,na
heliotropoides,upcb0015471,Bernacci_2622,1.5,9.4,5.3,15.0,8.5,5.6,6.0,2.8,2.85,2.93,72,0.08,0.49,0.41,0.47
hyemalis,flor0019767,Hatschbach_52530,2,8.2,5.0,6.6,7.2,4.9,18.0,3.5,3.65,4,10,1.80,1.67,0.84,1.15
hyemalis,flor0021535,Silva_726,2,7.2,3.9,5.0,8.0,4.7,14.0,4.3,2.44,3.9,14,1.00,1.81,0.76,1.18
hyemalis,flor0057909,Lozano_1548,3,9.3,4.5,7.3,7.6,3.7,12.0,2.9,3.29,3.84,10,1.20,2.13,0.8,1.46
hyemalis,flor0058930,Fiaschi_4433,1.5,6.3,2.2,6.5,4.2,2.7,12.0,3.2,3.82,6.77,11,1.09,1.79,0.8,1.09
hyemalis,flor0034223,Boff_153,na,7.2,4.0,9.1,5.5,4.1,6.0,3.4,2.66,3.23,10,0.60,1.34,0.72,0.96
hypoleuca,ny00521707,Mori_11361,8,18.0,8.5,11.3,11.0,8.5,2.0,2.1,1.98,1.98,47,0.04,0.70,0.51,0.48
hypoleuca,ny02098455,ChagasMota_7904,5,19.0,6.5,12.0,8.0,5.5,7.0,2.7,1.73,3.15,62,0.11,0.58,0.53,0.55
hypoleuca,ny00521696,Steyermark_87954,10,15.0,9.0,9.0,10.5,7.0,9.0,2.6,2.8,2.78,95,0.10,0.70,0.46,0.49
