"lambda0","lambda1","mu0","mu1","q01"
0.315325194481995,0.847451186525038,7.70791039992447e-09,0.370996795344373,0.09576093368769
0.38710356146454,0.529492927370109,2.35073102035396e-08,0.0478761375816583,0.0951037403549305
0.236846921430145,0.542369475586173,8.25188165189199e-08,0.194473138612258,0.070482188878271
0.293100525953853,0.473378455203923,1.71172575912862e-08,0.0852603155868465,0.078441186503696
0.405038671579056,0.829783751542619,9.86155659461110e-09,0.269537119885407,0.110281797389061
0.281487138036655,0.636059026968273,1.65408457295984e-08,0.204600431044101,0.0799332308785655
0.340887089365062,0.598083029020247,3.42449183730164e-07,0.119765569744614,0.089250146199407
0.307575695229752,0.519140521863746,5.40550414083333e-10,0.0582328785835065,0.0814441611916297
0.306065768414628,0.692917979683813,5.5325101149875e-09,0.20193732737144,0.0841135427238169
0.283941998782138,0.479509721392257,5.48290045575214e-08,0.0347867361392517,0.0706524714556076
0.266744333711026,0.815009919447071,1.06547360544397e-07,0.385161434903847,0.0854306613083279
0.325158593473793,0.538328867939465,1.46095748754872e-07,0.0373681351036489,0.0778922041479525
0.390852471593202,0.66872716469043,2.90485754884574e-10,0.0230464737901677,0.0972244091108284
0.237473463897939,0.505689389359821,8.88977565071079e-09,0.174000354008385,0.065951296211822
0.253489294169621,0.464688656515803,9.05866788880108e-09,0.0729871731098053,0.062591750066059
0.316057079446018,0.561889435706352,4.68025781018053e-07,0.147875633264566,0.0937022772963588
0.272802020758147,0.399211192228366,2.49769447947856e-08,0.00172891236776093,0.0696409292243313
0.31959312916176,0.637819163198708,4.07690078929983e-08,0.0910789255938624,0.0762225385896649
0.314343637269284,0.647109156375415,2.45641996705108e-09,0.170604503574606,0.0829241829728497
0.244215999247894,0.570447243358264,2.6146637798339e-08,0.188829754974787,0.0708866894704197
0.312647998529945,0.585568295190124,4.40432852779076e-08,0.120982942934908,0.0797091330673249
0.290089084170069,0.423948442837901,3.83050618224837e-08,0.00878708187188235,0.081074569063601
0.325667028211879,0.604817325355919,4.91395403180229e-11,0.0896068310371696,0.0843911795602454
0.318549789459785,0.669189175813486,3.04638105961572e-09,0.175075572798412,0.089954277117619
0.388265591500325,0.98572744225828,1.53310032923349e-09,0.414326992304087,0.117400117733481
0.235034896380939,0.636136702638157,1.50084833014021e-08,0.285248248247564,0.0679607686421833
0.316485450653147,0.489768404400725,7.77981320812665e-08,0.0161152502159489,0.079707903574872
0.326845309155,0.710222821076389,9.53342450292475e-08,0.23505628411934,0.0895555408503185
0.325159983579107,0.821971778540075,1.0382689706829e-09,0.399779374551014,0.0968457972274731
0.296249530490297,0.629190227407155,7.64053033437645e-09,0.171324180400394,0.0884967571143608
0.267857896842988,0.601145219913922,1.03059580500369e-08,0.254013118177096,0.0873699046589722
0.248896048814014,0.513465240643174,4.79510600784593e-09,0.144402179997913,0.0723779539148571
0.313248256800746,0.529840345475267,3.69598665450036e-08,0.0550445783837116,0.0799192762423743
0.258193745698004,0.526300717134035,1.10388175635604e-07,0.153416480869262,0.0672294936804999
0.283442301687621,0.479237946331167,1.07802685909001e-08,0.0376431014121789,0.0680167665238731
0.316342492359868,0.593920900885962,2.04960627003422e-09,0.0945987317725533,0.0890199267136395
0.286190321530012,0.477676719538669,4.68825012760846e-08,0.0563650728614736,0.0729393907447992
